Severity,Date,Finding,Target,Template,Rules Package,ARN,Rule,AWS agent ID,AMI ID,Auto Scaling Group,Hostname,IPv4 Addresses,Asset Type,Confidence,Description,Indicator of Compromise,Numeric Severity,Recommendation,Service,Assessment Run ARN,Rules Package ARN,CVSS2 Score,CVSS2 Vector,CVSS3 Score,CVSS3 Vector,CIS Weight,Last Update
High,1.51806E+12,"
    Instance i-03e085d4f68678768 is not compliant with rule 2.3.9.3 L1 Ensure Microsoft network server Digitally sign communications if client agrees is set to Enabled, 3.0.0 CIS Microsoft Windows Server 2008 R2 Benchmark.            

    Applicable profiles: Level 2 - Domain Controller, Level 1 - Member Server, Level 2 - Member Server, Level 1 - Domain Controller.
            ",mgc-test-target,mgc-test-template,CIS Operating System Security Configuration Benchmarks-1.0,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq/finding/0-pm6haTEU,2.3.9.3 (L1) Ensure 'Microsoft network server: Digitally sign communications (if client agrees)' is set to 'Enabled',i-03e085d4f68678768,,,,,ec2-instance,10,"Description

                  
This policy setting determines if the server side SMB service is able to sign SMB packets if it is requested to do so by a client that attempts to establish a connection. If no signing request comes from the client, a connection will be allowed without a signature if the Microsoft network server: Digitally sign communications (always) setting is not enabled.

                  
Note: Enable this policy setting on SMB clients on your network to make them fully effective for packet signing with all clients and servers in your environment.

                  
The recommended state for this setting is: Enabled.

               

Rationale

                  
Session hijacking uses tools that allow attackers who have access to the same network as the client or server to interrupt, end, or steal a session in progress. Attackers can potentially intercept and modify unsigned SMB packets and then modify the traffic and forward it so that the server might perform undesirable actions. Alternatively, the attacker could pose as the server or client after legitimate authentication and gain unauthorized access to data.

                  
SMB is the resource sharing protocol that is supported by many Windows operating systems. It is the basis of NetBIOS and many other protocols. SMB signatures authenticate both users and the servers that host the data. If either side fails the authentication process, data transmission will not take place.

               

",,9,"
                  
                     
                        To establish the recommended configuration via GP, set the following UI path to Enabled:
                        Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\Security Options\Microsoft network server: Digitally sign communications (if client agrees)
                        Impact:
                        The Windows 2000 Server, Windows 2000 Professional, Windows Server 2003, Windows XP Professional and Windows Vista implementations of the SMB file and print sharing protocol support mutual authentication, which prevents session hijacking attacks and supports message authentication to prevent man-in-the-middle attacks. SMB signing provides this authentication by placing a digital signature into each SMB, which is then verified by both the client and the server.Implementation of SMB signing may negatively affect performance, because each packet needs to be signed and verified. If these settings are enabled on a server that is performing multiple roles, such as a small business server that is serving as a domain controller, file server, print server, and application server performance may be substantially slowed. Additionally, if you configure computers to ignore all unsigned SMB communications, older applications and operating systems will not be able to connect. However, if you completely disable all SMB signing, computers will be vulnerable to session hijacking attacks.When SMB signing policies are enabled on domain controllers running Windows Server 2003 and member computers running Windows Vista SP1 or Windows Server 2008 group policy processing will fail. A hotfix is available from Microsoft that resolves this issue; see Microsoft Knowledge Base article 950876 for more details: Group Policy settings are not applied on member computers that are running Windows Server 2008 or Windows Vista SP1 when certain SMB signing policies are enabled.
                        
                     
                  
               ",Inspector,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq,arn:aws:inspector:ap-southeast-2:454640832652:rulespackage/0-Vkd2Vxjq,,,,,SCORED,1.51806E+12
High,1.51806E+12,"
    Instance i-03e085d4f68678768 is not compliant with rule 18.9.22.4 L1 Ensure Default Protections for Popular Software is set to Enabled, 3.0.0 CIS Microsoft Windows Server 2008 R2 Benchmark.            

    Applicable profiles: Level 2 - Domain Controller, Level 1 - Member Server, Level 2 - Member Server, Level 1 - Domain Controller.
            ",mgc-test-target,mgc-test-template,CIS Operating System Security Configuration Benchmarks-1.0,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq/finding/0-OfQePsrc,18.9.22.4 (L1) Ensure 'Default Protections for Popular Software' is set to 'Enabled',i-03e085d4f68678768,,,,,ec2-instance,10,"Description

                  
This settings determine if EMET mitigations are applied to other popular software.

                  
The recommended state for this setting is: Enabled.

               

Rationale

                  
Applying EMET mitigations to popular software packages will help reduce the reliability of exploits that target them.

               

",,9,"
                  
                     
                        To establish the recommended configuration via GP, set the following UI path to Enabled:
                        Computer Configuration\Policies\Administrative Templates\Windows Components\EMET\Default Protections for Popular Explorer
                        Note: This Group Policy path does not exist by default. An additional Group Policy template (EMET.admx/adml) is required - it is included with Microsoft Enhanced Mitigation Experience Toolkit (EMET).
                         
                     
                  
               ",Inspector,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq,arn:aws:inspector:ap-southeast-2:454640832652:rulespackage/0-Vkd2Vxjq,,,,,SCORED,1.51806E+12
High,1.51806E+12,"
    Instance i-03e085d4f68678768 is not compliant with rule 18.9.35.1 L2 Ensure Turn off location is set to Enabled, 3.0.0 CIS Microsoft Windows Server 2008 R2 Benchmark.            

    Applicable profiles: Level 2 - Domain Controller, Level 2 - Member Server.
            ",mgc-test-target,mgc-test-template,CIS Operating System Security Configuration Benchmarks-1.0,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq/finding/0-mwe9QWVs,18.9.35.1 (L2) Ensure 'Turn off location' is set to 'Enabled',i-03e085d4f68678768,,,,,ec2-instance,10,"Description

                  
This policy setting turns off the location feature for this computer.

                  
The recommended state for this setting is: Enabled.

               

Rationale

                  
This setting affects the location feature (e.g. GPS or other location tracking). From a security perspective, it#x2019;s not a good idea to reveal your location to software in most cases, but there are legitimate uses, such as mapping software.

               

",,9,"
                  
                     
                        To establish the recommended configuration via GP, set the following UI path to Enabled:
                        Computer Configuration\Policies\Administrative Templates\Windows Components\Location and Sensors\Turn off location
                        Impact:
                        If you enable this policy setting, the location feature is turned off, and all programs on this computer are prevented from using location information from the location feature.
                        
                     
                  
               ",Inspector,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq,arn:aws:inspector:ap-southeast-2:454640832652:rulespackage/0-Vkd2Vxjq,,,,,SCORED,1.51806E+12
High,1.51806E+12,"
    Instance i-03e085d4f68678768 is not compliant with rule 18.9.81.1.3 L1 Ensure Disallow Digest authentication is set to Enabled, 3.0.0 CIS Microsoft Windows Server 2008 R2 Benchmark.            

    Applicable profiles: Level 2 - Domain Controller, Level 1 - Member Server, Level 2 - Member Server, Level 1 - Domain Controller.
            ",mgc-test-target,mgc-test-template,CIS Operating System Security Configuration Benchmarks-1.0,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq/finding/0-aAw1un8W,18.9.81.1.3 (L1) Ensure 'Disallow Digest authentication' is set to 'Enabled',i-03e085d4f68678768,,,,,ec2-instance,10,"Description

                     
This policy setting allows you to manage whether the Windows Remote Management (WinRM) client will not use Digest authentication.

                     
If you enable this policy setting, the WinRM client will not use Digest authentication.

                     
If you disable or do not configure this policy setting, the WinRM client will use Digest authentication.

                     
The recommended state for this setting is: Enabled.

                  

Rationale

                     
Digest authentication is less robust than other authentication methods available in WinRM, an attacker who is able to capture packets on the network where WinRM is running may be able to determine the credentials used for accessing remote hosts via WinRM.

                  

",,9,"
                     
                        
                           To establish the recommended configuration via GP, set the following UI path to Enabled:
                           Computer Configuration\Policies\Administrative Templates\Windows Components\Windows Remote Management (WinRM)\WinRM Client\Disallow Digest authentication
                           Impact:
                           The WinRM client will not use Digest authentication.
                           
                        
                     
                  ",Inspector,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq,arn:aws:inspector:ap-southeast-2:454640832652:rulespackage/0-Vkd2Vxjq,,,,,SCORED,1.51806E+12
High,1.51806E+12,"
    Instance i-03e085d4f68678768 is not compliant with rule 17.4.2 L1 Ensure Audit Directory Service Changes is set to Success and Failure DC only, 3.0.0 CIS Microsoft Windows Server 2008 R2 Benchmark.            

    Applicable profiles: Level 2 - Domain Controller, Level 1 - Domain Controller.
            ",mgc-test-target,mgc-test-template,CIS Operating System Security Configuration Benchmarks-1.0,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq/finding/0-yq8t8iRi,17.4.2 (L1) Ensure 'Audit Directory Service Changes' is set to 'Success and Failure' (DC only),i-03e085d4f68678768,,,,,ec2-instance,10,"Description

               
This subcategory reports changes to objects in Active Directory Domain Services (AD DS). The types of changes that are reported are create, modify, move, and undelete operations that are performed on an object. DS Change auditing, where appropriate, indicates the old and new values of the changed properties of the objects that were changed. Only objects with SACLs cause audit events to be generated, and only when they are accessed in a manner that matches their SACL. Some objects and properties do not cause audit events to be generated due to settings on the object class in the schema. This subcategory applies only to domain controllers. Events for this subcategory include:

               
5136 : A directory service object was modified.5137 : A directory service object was created.5138 : A directory service object was undeleted.5139 : A directory service object was moved.
               

               
The recommended state for this setting is: Success and Failure.

            

Rationale

               
Auditing these events may be useful when investigating a security incident.

            

",,9,"
               
                  
                     To establish the recommended configuration via GP, set the following UI path to Success and Failure.
                     Computer Configuration\Policies\Windows Settings\Security Settings\Advanced Audit Policy Configuration\Audit Policies\DS Access\Audit Directory Service Changes
                     Impact:
                     If no audit settings are configured, or if audit settings are too lax on the computers in your organization, security incidents might not be detected or not enough evidence will be available for network forensic analysis after security incidents occur. However, if audit settings are too severe, critically important entries in the Security log may be obscured by all of the meaningless entries and computer performance and the available amount of data storage may be seriously affected. Companies that operate in certain regulated industries may have legal obligations to log certain events or activities.
                     
                  
               
            ",Inspector,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq,arn:aws:inspector:ap-southeast-2:454640832652:rulespackage/0-Vkd2Vxjq,,,,,SCORED,1.51806E+12
High,1.51806E+12,"
    Instance i-03e085d4f68678768 is not compliant with rule 18.4.10.2 L1 Ensure Prohibit installation and configuration of Network Bridge on your DNS domain network is set to Enabled, 3.0.0 CIS Microsoft Windows Server 2008 R2 Benchmark.            

    Applicable profiles: Level 2 - Domain Controller, Level 1 - Member Server, Level 2 - Member Server, Level 1 - Domain Controller.
            ",mgc-test-target,mgc-test-template,CIS Operating System Security Configuration Benchmarks-1.0,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq/finding/0-yZa3r6dj,18.4.10.2 (L1) Ensure 'Prohibit installation and configuration of Network Bridge on your DNS domain network' is set to 'Enabled',i-03e085d4f68678768,,,,,ec2-instance,10,"Description

                  

                     You can use this procedure to enable or disable the user's ability to install and configure a network bridge.
                  

                  
The recommended state for this setting is: Enabled.
                  

               

Rationale

                  

                     Allowing users to create a network bridge increases the risk and attack surface from the bridged network.
                  

               

",,9,"
                  
                     
                        
                           To establish the recommended configuration via GP, set the following UI path to 
                           Enabled
                           :
                        
                        Computer Configuration\Policies\Administrative Templates\Network\Network Connections\Prohibit installation and configuration of Network Bridge on your DNS domain network
                        Impact:
                        The Network Bridge setting, if enabled, allows users to create a Layer 2 Media Access Control (MAC) bridge, enabling them to connect two or more physical network segments together. A network bridge thus allows a computer that has connections to two different networks to share data between those networks.
                           In an enterprise environment, where there is a need to control network traffic to only authorized paths, you can disable the Network Bridge setting on a computer. If you disable Network Bridge on a computer, users cannot create or configure a network bridge. Membership in the local Administrators group, or equivalent, is the minimum required to complete this procedure.
                           
                        
                     
                  
               ",Inspector,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq,arn:aws:inspector:ap-southeast-2:454640832652:rulespackage/0-Vkd2Vxjq,,,,,SCORED,1.51806E+12
High,1.51806E+12,"
    Instance i-03e085d4f68678768 is not compliant with rule 2.3.9.2 L1 Ensure Microsoft network server Digitally sign communications always is set to Enabled, 3.0.0 CIS Microsoft Windows Server 2008 R2 Benchmark.            

    Applicable profiles: Level 2 - Domain Controller, Level 1 - Member Server, Level 2 - Member Server, Level 1 - Domain Controller.
            ",mgc-test-target,mgc-test-template,CIS Operating System Security Configuration Benchmarks-1.0,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq/finding/0-S65mHNLv,2.3.9.2 (L1) Ensure 'Microsoft network server: Digitally sign communications (always)' is set to 'Enabled',i-03e085d4f68678768,,,,,ec2-instance,10,"Description

                  
This policy setting determines if the server side SMB service is required to perform SMB packet signing. Enable this policy setting in a mixed environment to prevent downstream clients from using the workstation as a network server.

                  
The recommended state for this setting is: Enabled.

               

Rationale

                  
Session hijacking uses tools that allow attackers who have access to the same network as the client or server to interrupt, end, or steal a session in progress. Attackers can potentially intercept and modify unsigned SMB packets and then modify the traffic and forward it so that the server might perform undesirable actions. Alternatively, the attacker could pose as the server or client after legitimate authentication and gain unauthorized access to data.

                  
SMB is the resource sharing protocol that is supported by many Windows operating systems. It is the basis of NetBIOS and many other protocols. SMB signatures authenticate both users and the servers that host the data. If either side fails the authentication process, data transmission will not take place.

               

",,9,"
                  
                     
                        To establish the recommended configuration via GP, set the following UI path to Enabled:
                        Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\Security Options\Microsoft network server: Digitally sign communications (always)
                        Impact:
                        The Windows 2000 Server, Windows 2000 Professional, Windows Server 2003, Windows XP Professional and Windows Vista implementations of the SMB file and print sharing protocol support mutual authentication, which prevents session hijacking attacks and supports message authentication to prevent man-in-the-middle attacks. SMB signing provides this authentication by placing a digital signature into each SMB, which is then verified by both the client and the server.Implementation of SMB signing may negatively affect performance, because each packet needs to be signed and verified. If these settings are enabled on a server that is performing multiple roles, such as a small business server that is serving as a domain controller, file server, print server, and application server performance may be substantially slowed. Additionally, if you configure computers to ignore all unsigned SMB communications, older applications and operating systems will not be able to connect. However, if you completely disable all SMB signing, computers will be vulnerable to session hijacking attacks.When SMB signing policies are enabled on domain controllers running Windows Server 2003 and member computers running Windows Vista SP1 or Windows Server 2008 group policy processing will fail. A hotfix is available from Microsoft that resolves this issue; see Microsoft Knowledge Base article 950876 for more details: Group Policy settings are not applied on member computers that are running Windows Server 2008 or Windows Vista SP1 when certain SMB signing policies are enabled.
                        
                     
                  
               ",Inspector,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq,arn:aws:inspector:ap-southeast-2:454640832652:rulespackage/0-Vkd2Vxjq,,,,,SCORED,1.51806E+12
High,1.51806E+12,"
    Instance i-03e085d4f68678768 is not compliant with rule 18.9.8.2 L1 Ensure Set the default behavior for AutoRun is set to Enabled Do not execute any autorun commands, 3.0.0 CIS Microsoft Windows Server 2008 R2 Benchmark.            

    Applicable profiles: Level 2 - Domain Controller, Level 1 - Member Server, Level 2 - Member Server, Level 1 - Domain Controller.
            ",mgc-test-target,mgc-test-template,CIS Operating System Security Configuration Benchmarks-1.0,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq/finding/0-lILsYTmE,18.9.8.2 (L1) Ensure 'Set the default behavior for AutoRun' is set to 'Enabled: Do not execute any autorun commands',i-03e085d4f68678768,,,,,ec2-instance,10,"Description

                  
This policy setting sets the default behavior for Autorun commands. Autorun commands are generally stored in autorun.inf files. They often launch the installation program or other routines.

                  
The recommended state for this setting is: Enabled: Do not execute any autorun commands.

               

Rationale

                  
Prior to Windows Vista, when media containing an autorun command is inserted, the system will automatically execute the program without user intervention. This creates a major security concern as code may be executed without user's knowledge. The default behavior starting with Windows Vista is to prompt the user whether autorun command is to be run. The autorun command is represented as a handler in the Autoplay dialog.

               

",,9,"
                  
                     
                        To establish the recommended configuration via GP, set the following UI path to Enabled: Do not execute any autorun commands:
                        Computer Configuration\Policies\Administrative Templates\Windows Components\AutoPlay Policies\Set the default behavior for AutoRun
                        Impact:
                        If you enable this policy setting, an Administrator can change the default Windows Vista or later behavior for autorun to:a) Completely disable autorun commands, orb) Revert back to pre-Windows Vista behavior of automatically executing the autorun command.
                        
                     
                  
               ",Inspector,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq,arn:aws:inspector:ap-southeast-2:454640832652:rulespackage/0-Vkd2Vxjq,,,,,SCORED,1.51806E+12
High,1.51806E+12,"
    Instance i-03e085d4f68678768 is not compliant with rule 18.8.43.1.1 L2 Ensure Enable Windows NTP Client is set to Enabled, 3.0.0 CIS Microsoft Windows Server 2008 R2 Benchmark.            

    Applicable profiles: Level 2 - Domain Controller, Level 2 - Member Server.
            ",mgc-test-target,mgc-test-template,CIS Operating System Security Configuration Benchmarks-1.0,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq/finding/0-ePB7v4pm,18.8.43.1.1 (L2) Ensure 'Enable Windows NTP Client' is set to 'Enabled',i-03e085d4f68678768,,,,,ec2-instance,10,"Description

                     
This policy setting specifies whether the Windows NTP Client is enabled. Enabling the Windows NTP Client allows your computer to synchronize its computer clock with other NTP servers. You might want to disable this service if you decide to use a third-party time provider.

                     
The recommended state for this setting is: Enabled.

                  

Rationale

                     
A reliable and accurate account of time is important for a number of services and security requirements, including but not limited to distributed applications, authentication services, multi-user databases and logging services. The use of an NTP client (with secure operation) establishes functional accuracy and is a focal point when reviewing security relevant events

                  

",,9,"
                     
                        
                           To establish the recommended configuration via GP, set the following UI path to Enabled:
                           
                           Computer Configuration\Policies\Administrative Templates\System\Windows Time Service\Time Providers\Enable Windows NTP Client
                           Impact:
                           If you enable this policy setting, you can set the local computer clock to synchronize time with NTP servers.
                           
                        
                     
                  ",Inspector,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq,arn:aws:inspector:ap-southeast-2:454640832652:rulespackage/0-Vkd2Vxjq,,,,,SCORED,1.51806E+12
High,1.51806E+12,"
    Instance i-03e085d4f68678768 is not compliant with rule 2.3.11.4 L1 Ensure Network Security Configure encryption types allowed for Kerberos is set to RC4 HMAC MD5 AES128 HMAC SHA1 AES256 HMAC SHA1 Future encryption types, 3.0.0 CIS Microsoft Windows Server 2008 R2 Benchmark.            

    Applicable profiles: Level 2 - Domain Controller, Level 1 - Member Server, Level 2 - Member Server, Level 1 - Domain Controller.
            ",mgc-test-target,mgc-test-template,CIS Operating System Security Configuration Benchmarks-1.0,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq/finding/0-jDBHNqFD,"2.3.11.4 (L1) Ensure 'Network Security: Configure encryption types allowed for Kerberos' is set to 'RC4_HMAC_MD5, AES128_HMAC_SHA1, AES256_HMAC_SHA1, Future encryption types'",i-03e085d4f68678768,,,,,ec2-instance,10,"Description

                  
This policy setting allows you to set the encryption types that Kerberos is allowed to use. This policy is supported on at least Windows 7 or Windows Server 2008 R2.

                  
The recommended state for this setting is: RC4_HMAC_MD5, AES128_HMAC_SHA1, AES256_HMAC_SHA1, Future encryption types.

               

Rationale

                  
The strength of each encryption algorithm varies from one to the next, choosing stronger algorithms will reduce the risk of compromise however doing so may cause issues when the computer attempts to authenticate with systems that do not support them.

               

",,9,"
                  
                     
                        To establish the recommended configuration via GP, set the following UI path to RC4_HMAC_MD5, AES128_HMAC_SHA1, AES256_HMAC_SHA1, Future encryption types:
                        Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\Security Options\Network Security: Configure encryption types allowed for Kerberos
                        Impact:
                        If not selected, the encryption type will not be allowed. This setting may affect compatibility with client computers or services and applications. Multiple selections are permitted.
                        
                     
                  
               ",Inspector,arn:aws:inspector:ap-southeast-2:215355426039:target/0-97Rjfn5o/template/0-nVN2nkjI/run/0-KOzMHWlq,arn:aws:inspector:ap-southeast-2:454640832652:rulespackage/0-Vkd2Vxjq,,,,,SCORED,1.51806E+12
